FY,agency_code,employee_count
2022-2023,833,5
2022-2023,835,841
2022-2023,836,4
2022-2023,837,13
2022-2023,841,2
2022-2023,842,2020
2022-2023,845,1
2022-2023,847,1
2022-2023,848,5
2022-2023,857,6
2022-2023,861,1
2022-2023,862,1192
2022-2023,863,15
2022-2023,865,1
2022-2023,866,18
2022-2023,868,5
2022-2023,870,2
2022-2023,871,2
2022-2023,877,19
2022-2023,880,2719
2022-2023,887,4
2022-2023,9,4
2022-2023,900,1465
2022-2023,901,500
2022-2023,902,651
2022-2023,903,2061
2022-2023,904,3020
2022-2023,905,953
2022-2023,906,1380
2022-2023,907,2884
2022-2023,908,1791
2022-2023,909,375
2022-2023,910,975
2022-2023,911,1283
2022-2023,912,1047
2022-2023,913,1641
2022-2023,915,1773
2022-2023,916,17
2022-2023,917,155
2022-2023,918,17
2022-2023,919,1178
2022-2023,920,5
2022-2023,921,26
2022-2023,927,274
2022-2023,928,223
2022-2023,929,32
2022-2023,931,26
2022-2023,932,793
2022-2023,933,16
2022-2023,934,1289
2022-2023,935,7
2022-2023,936,1773
2022-2023,937,7
2022-2023,951,2
2022-2023,952,1648
2022-2023,953,1
2022-2023,955,1
2022-2023,958,4
2022-2023,960,1
2022-2023,961,2
2022-2023,963,7
2022-2023,964,8
2022-2023,965,1
2022-2023,966,21
2022-2023,967,24
2022-2023,968,37
2022-2023,969,6
2022-2023,970,5
2022-2023,977,9
2022-2023,992,971
2022-2023,995,1
2022-2023,996,354
2022-2023,998,5
